D_CRIA,D_RECRIA,D_ENGORDA,D_CRIA_RECRIA,D_CRIA_ENGORDA,D_RECRIA_ENGORDA,D_CRIA_RECRIA_ENGORDA,PVACAS2ANOS,TX_LOT_UA,RACAO,ADUBPASTAGEM,RECEBEORIENT,PCONFINADOS,PVACASINSEM,P_LAV,P_PAST,P_SILV,PVTP_BOV,UA_BOV
0.360465,0.232558,0.116279,0.116279,0.011628,0.034884,0.127907,0.384902,0.759178,0.069767,0.011628,0.093023,0.038941,0,0.038266,0.782531,0.157232,0.608157,11.713
0.351852,0.117284,0.092593,0.364198,0.006173,0.012346,0.055556,0.303653,0.499002,0.061728,0.037037,0.030864,0.021573,0.006039,0.011491,0.959538,0,0.89313,37.916
0.872247,0.017621,0.004405,0.070485,0,0.004405,0.030837,0.450201,0.772892,0.070485,0.017621,0.136564,0.025777,0.038807,0.08211,0.858562,0,0.325405,46.745
0.375,0,0,0.375,0,0.25,0,0.503214,0.452222,0.125,0.375,0.375,0,0,0.003605,0.95821,0,0.908883,1.714
0.101449,0,0.014493,0.26087,0.014493,0.086957,0.521739,0.358318,0.710584,0.217391,0.101449,0.072464,0,0,0.016642,0.883333,0.077199,0.255933,11.57
0.38961,0.051948,0.220779,0.12987,0,0.012987,0.194805,0.16472,0.595956,0.155844,0,0.038961,0.000531,0.006044,0.008344,0.803689,0,0.954364,10.557
0.0625,0,0.0625,0.0625,0,0,0.8125,0.34652,0.634264,0.1875,0.0625,0.5,0,0.114163,0.024154,0.971393,0,0.059279,4.646
0.313953,0.034884,0.046512,0.406977,0.011628,0.023256,0.162791,0.423388,0.697882,0.081395,0.232558,0.418605,0.002906,0.03398,0.020855,0.978324,0,0.940818,46.435
0.16,0.08,0.16,0.08,0.08,0.04,0.4,0.263236,0.387278,0.2,0.16,0.76,0.037023,0,0.318542,0.532973,0,0.082771,1.885
0.242857,0,0,0.671429,0.028571,0.014286,0.042857,0.360952,0.932209,0.014286,0.014286,0.071429,0,0,0.026583,0.968268,0,0.882797,7.041
0.531381,0.246862,0.020921,0.07113,0.083682,0.008368,0.037657,0.420611,0.780895,0.025105,0.054393,0.213389,0.000027,0.048945,0.030853,0.902179,0.015785,0.538173,49.252
0.581395,0.046512,0.023256,0.255814,0.011628,0,0.081395,0.398474,0.731684,0.023256,0.011628,0.069767,0.017967,0,0.011577,0.988205,0,0.497365,16.067
0.330357,0.169643,0.196429,0.232143,0.017857,0.008929,0.044643,0.454111,0.442593,0.236607,0.040179,0.111607,0.00877,0.019393,0.039354,0.927623,0.000775,0.465981,38.469
0.564103,0.051282,0.115385,0.128205,0.025641,0.025641,0.089744,0.489924,0.725047,0.012821,0.051282,0.346154,0.018967,0.001936,0.016658,0.769486,0,0.768045,14.072
0.326316,0.084211,0.157895,0.084211,0,0.010526,0.336842,0.193907,0.260338,0.094737,0.010526,0.452632,0,0.006588,0.000231,0.990841,0.008846,0.583062,17.078
0.03125,0.09375,0.25,0.21875,0.0625,0.09375,0.25,0.133703,0.676471,0.40625,0.1875,0.4375,0.005442,0.142457,0.001721,0.997797,0.000114,0.995651,17.754
0.234234,0.027027,0.036036,0.288288,0.036036,0.054054,0.324324,0.456584,0.372897,0.189189,0.117117,0.279279,0.073447,0.019942,0.007543,0.836343,0,0.747835,23.448
0.188679,0.09434,0.169811,0.150943,0.264151,0.037736,0.09434,0.348632,1.012769,0.056604,0.075472,0.584906,0.007944,0.031646,0.013756,0.919267,0.020916,0.301725,5.457
0.352113,0.091549,0.133803,0.119718,0.028169,0.049296,0.225352,0.280737,0.624478,0.049296,0.06338,0.15493,0.00425,0.088336,0.005661,0.993622,0,0.923934,31.264
0.397059,0.058824,0.029412,0.411765,0.029412,0.044118,0.029412,0.427654,0.571975,0.132353,0.088235,0.191176,0,0.015493,0.016919,0.954378,0,0.777353,13.038
0.085106,0.021277,0.042553,0.617021,0,0.021277,0.212766,0.333851,0.413628,0.12766,0,0.085106,0.014566,0,0.000834,0.99904,0.000072,0.816591,6.903
0.294118,0.117647,0.058824,0.176471,0,0.117647,0.235294,0.336634,0.280128,0.352941,0,0.294118,0.017929,0,0.003697,0.99502,0,0.87666,2.525
0.35,0.025,0.025,0.075,0.025,0.05,0.45,0.35494,0.217324,0.525,0.225,0.45,0,0,0.003971,0.973621,0.001805,0.745354,7.562
0.677419,0.064516,0.032258,0.096774,0,0,0.129032,0.415718,0.652292,0.096774,0.193548,0.225806,0,0,0.031553,0.943384,0,0.714367,4.192
0.475,0.066667,0.075,0.225,0.008333,0.041667,0.108333,0.353761,0.386366,0.083333,0.033333,0.15,0.006692,0,0.010018,0.95942,0,0.463926,18.948
0.748634,0.054645,0.065574,0.010929,0.071038,0,0.04918,0.304165,0.598285,0.071038,0.076503,0.125683,0,0.026631,0.033262,0.827508,0,0.587414,29.961
0.244318,0.079545,0.022727,0.494318,0.005682,0.034091,0.119318,0.441081,0.573647,0.136364,0.142045,0.284091,0.00028,0.051733,0.027646,0.946858,0,0.788835,32.614
